franchise,season,episode,lang,overview
PULSE,51,9,en-US,
PULSE,51,10,en-US,A secret society of law students exercise strange control over a new member.
PULSE,51,11,en-US,
PULSE,51,12,en-US,A split-second decision during a standoff sends Lindholm and Schmitz down an Orwellian rabbit hole of conspiracy and deceit.
PULSE,51,13,en-US,
PULSE,51,14,en-US,
PULSE,51,15,en-US,
PULSE,51,16,en-US,Lindholm and Schmitz navigate dangerous politcal waters to find the killer of a far-right blogger.
PULSE,51,17,en-US,"In the middle of an event at the police college, a young student freaks out and stabs her buddy. He still dies at the scene in the arms of the helpless main commissioner."
PULSE,51,18,en-US,
PULSE,51,19,en-US,
PULSE,51,20,en-US,
PULSE,51,21,en-US,
PULSE,51,22,en-US,Eisner and Fellner investigate the murder of a bodybuilder.
PULSE,51,23,en-US,
PULSE,51,24,en-US,
PULSE,51,25,en-US,The murder of a 90-year-old Berlin building tycoon appears to be politically motivated.
PULSE,51,26,en-US,
PULSE,51,27,en-US,Eisner and Fellner find themselves caught in a war between conventional medicine and alternate healing methods.
PULSE,51,28,en-US,
PULSE,51,29,en-US,
PULSE,51,30,en-US,
PULSE,51,31,en-US,
PULSE,51,32,en-US,
PULSE,51,33,en-US,
PULSE,51,34,en-US,
PULSE,51,35,en-US,Eisner and Fellner investigate the death of a homeless man.
PULSE,51,36,en-US,
PULSE,52,1,en-US,
PULSE,52,2,en-US,
PULSE,52,3,en-US,
PULSE,52,4,en-US,A journalist asks Falke for help investigating an allegedly illegal real estate deal on the island of Norderney.
PULSE,52,5,en-US,
PULSE,52,6,en-US,
PULSE,52,7,en-US,"During an investigation into a fire, the team is confronted with racism, police violence and fake news."
PULSE,52,8,en-US,
PULSE,52,9,en-US,"The abused body of a young woman is found on a wasteland near a popular Kiel club. The video surveillance of the club will soon provide Klaus Borowski (Axel Milberg) and Mila Sahin (Almila Bagriacik) with a suspect: Mario Lohse (Joseph Bundschuh). The shy-looking outsider regularly watches women's contemptuous videos in the internet forum of the so-called „ Pick-Up Artist “ Hank Massmann (Arnd Klawitter). Since Lohse has no valid alibi, Borowski and Sahin decide to temporarily arrest him."
PULSE,52,10,en-US,
PULSE,52,11,en-US,An anonymous call leads Eisner and Fellner to investigate the murder of a woman and the disappearance of a child.
PULSE,52,12,en-US,
PULSE,52,13,en-US,"A kiosk operator in Ludwigshafen is brutally slain. It looks like robbery - if it weren't for coins in the dead man's windpipe. A signal for Lena Odenthal and Johanna Stern that there could be a private motive for the deed. Her investigations are focused on two customers of the kiosk. Anton Maler looks charming, takes care of his sick ex-girlfriend and is so overly accommodating to the inspectors that he looks suspicious again. Jannik Berg, on the other hand, was not only seen with the possible murder weapon, he tried to evade the police officers and sowed distrust of Anton Maler. Witnesses and suspects who lie and gloss over are nothing new to Lena Odenthal and Johanna Stern. This time, however, they have the impression that they are supposed to be manipulated beyond the usual extent."
PULSE,52,14,en-US,A botched investigation leads to desperate measures for Falke and Grosz.
PULSE,52,15,en-US,
PULSE,52,16,en-US,
PULSE,52,17,en-US,Eisner and Fellner investigate the death of a senior official from the Interior Ministry.
PULSE,52,18,en-US,"Five-year-old Mike has disappeared. For three days, his separated parents think their son is with each other, until their mistake is discovered. Now the mother angrily suspects the father, the father the mother. But where is Mike really?"
PULSE,52,19,en-US,Bremen Harbor. A baby is kidnapped from a local clinic.
PULSE,52,20,en-US,A realtor is murdered during evictions of an apartment building slated for remodel.
PULSE,52,21,en-US,
PULSE,52,22,en-US,
PULSE,52,23,en-US,"Alarm in Kiel: In an uprising in the forensic clinic, the woman killer Kai Korthals manages to escape from security custody. Korthals, who crept and killed numerous women in their homes, became Borowski's personal nightmare six years ago when he kidnapped his fiancée Frieda Jung."
PULSE,52,24,en-US,
PULSE,52,25,en-US,
PULSE,52,26,en-US,
PULSE,52,27,en-US,
PULSE,52,28,en-US,Karow and Rubin investigate the brutal death of a woman active in Berlin's night life.
PULSE,52,29,en-US,
PULSE,52,30,en-US,Peter Faber and his team investigate after the police chief is involved in an accident.
PULSE,52,31,en-US,Bremen Harbor. A man's body is found in the harbor.
PULSE,52,32,en-US,"The investigation into a murder case leads the Munich detectives Ivo Batic and Franz Leitmayr to Dannerberg in the foothills of the Alps. The deceased had most recently worked as an auditor in a nunnery there. However, the God-fearing life only seems tranquil at first glance. Evidence quickly mounts that the monastery's caretaker is involved in the crime. But what is the motive? Were there irregularities in the books that the auditor threatened to uncover? No less irritating are two envoys from Rome who are conducting their own investigations in parallel to Batic and Leitmayr. Are the nuns trying to cover up their own misdeeds? And are there other wondrous secrets lurking behind the monastery walls?"
PULSE,52,33,en-US,A private rendevous in Hamburg turns into a nightmare after Lindholm is accused of murdering her date.
PULSE,53,1,en-US,
PULSE,53,2,en-US,The team investigate when the body of a man is found in the Dortmund harbor area.
PULSE,53,3,en-US,
PULSE,53,4,en-US,
PULSE,53,5,en-US,"Carolin and Moritz Seitz were once known as a successful couple of actors. But today she is considered the wife of a murderer: four years ago, Moritz Seitz was convicted of killing the former theater star Thore Bärwald after an excessive New Year's Eve party. Now Ole Stark turns himself in to the police. He is also an actor and claims to be the real killer. The public prosecutor's office cannot initiate new investigations, but they give Ballauf and Schenk a week to find out what is true about the story that is being served to them."
PULSE,53,6,en-US,"After four years in prison for the manslaughter of her father, Sara Manzer wants to look ahead. She has support for her new life - primarily from her friend Marlene, who takes her into her apartment. Sara, who has turned from a party girl into a reserved woman as a result of her imprisonment, wants to shake off memories and reorient herself. But then the police show up at her door. A former colleague was stabbed and old files of her case were found on him. She reluctantly admits that she spoke to Benno Rose before his death. He had new insights into her old case that should relieve her. Sara insists she had nothing to do with Rose's death. Which doesn't stop the inspectors from investigating."
PULSE,53,7,en-US,"Feline Wagner disappeared a year ago and a friend reported her missing. Now her body is found by chance in a burial forest during preparations for an urn burial. An argument at the site distracts Faber: It's hard to miss the fact that Commissioner Bönisch and the KTU member Sebastian Haller are already having their private dispute on duty again. Observing that Martina Bönisch's emotional life is putting a strain on herself and her work doesn't leave Faber unmoved.

Rosa Herzog and Jan Pawlak contact the Ihle funeral home: The gravesite was reserved here, a few days after Feline Wagner disappeared. It was paid for in cash by a man who gave a false name. Another murder victim is rescued, just a few steps away from the first. There was a year between the two murders - and soon twelve months have passed again..."
PULSE,53,8,en-US,
PULSE,53,9,en-US,"What begins as a completely ""normal"" murder investigation takes on ever wider ramifications: The shopaholic Magnus Rosponi is found beaten to death in his apartment.

But neither his cheerful bowling friends nor Silke Haller, who recognizes the dead man as a teenage crush, can explain why the popular man had to die. Instead, Professor Boerne finds a strange, small object in the corpse. Thiel discovers parallel amorous entanglements. And when the Federal Office for the Protection of the Constitution turns up in the shady characters Muster and Mann, things get absurd.

Apparently Thiel and Boerne have stirred up a hornet's nest and even attracted the attention of an assassin. But how is it all connected? And what's the story with the little dog that loves eating bananas?"
PULSE,53,10,en-US,
PULSE,53,11,en-US,"Falke and Grosz are entrusted with a delicate task under strict discretion: 17-year-old Juan Mendez has disappeared from a fine boarding school where celebrities and elites from business and politics have their children educated. Juan's father is the ambassador of an authoritarian country. The questionable despot is known for having members of the opposition and journalists arrested and tortured. While Juan's girlfriend Hanna has the worst fears, his best friend August suspects that the boy just wants to avoid the official celebrations of the state visit. Whatever the reason, Juan's disappearance puts the Bergsons, the teachers who run the school, in distress. The good reputation of the school is its most important asset. In the course of the investigations by Falke and Grosz, the boy's bodyguard comes under suspicion, especially when a blackmail letter appears: Juan's kidnappers are trying to free imprisoned opponents of the regime and journalists."
PULSE,53,12,en-US,
PULSE,53,13,en-US,
PULSE,53,14,en-US,"After an autumn storm, a skeletonized body is found under an uprooted oak tree. As Borowski suspects very quickly, it is the remains of his first friend Susanne. When Borowski was 16, he wanted to hitchhike Fehmarn with her for the legendary Jimi Hendrix appearance. After an argument, however, Susanne disappeared without a trace. Borowski had tried restlessly to clear up the disappearance. What was a grim assumption at the time is now suddenly bitter certainty when the forensic medicine Kroll unambiguously identifies the body. More resolutely than ever and without consultation with his colleagues, Borowski is pursuing the unexpected opportunity to face the perpetrator at the time after all these years. When Mila Sahin sees through this,she is shaken by the tragic fate of her colleague and initially covers him. But Borowski's constant going it alone finally forces her to involve her superior Schladitz."
PULSE,53,15,en-US,"A young couple alerts the police in the middle of the night. The two discovered a woman's body in a forest on the outskirts of Frankfurt. But when the chief inspectors Anna Janneke and Paul Brix arrive there, the body has disappeared."
PULSE,53,16,en-US,The young IT specialist Lukas Keller is brutally murdered near his sports club for no apparent motive.
PULSE,53,17,en-US,
PULSE,53,18,en-US,"A headless male body is recovered from the Spree, whose identity is difficult to establish. A little later, Nina Rubin is being followed by a young woman. Julie Bolshakov tells the detective that she witnessed a murder and asks Rubin for police protection. However, contact with Julie puts Rubin in a dilemma, because from now on she has to keep Karow out of the investigation so as not to endanger the young woman. Karow investigates the identity of the dead man, but senses more and more that his colleague is hiding things from him. Trust has been a thorny issue between the two from the start, and Rubin's behavior hurts Karow - especially since they've also become closer privately. All the more the old problem breaks out again. In her latest case, will Nina Rubin be able to free Julie from the clutches of her crime family?"
PULSE,53,19,en-US,"At first glance, the Bremen inspectors Moormann and Selb are dealing with the suicide of a mentally ill person. After a house fire, the tenant's body is found in her hermetically sealed bedroom. [Harbor Crimes.]"
PULSE,53,20,en-US,"A wife initially disappears without a trace from her house, which was obviously broken into. Traces of blood suggest the worst. Her husband Simon Fischer called the police, but then left the house.

Gorniak, Winkler and Schnabel initiate a large-scale search for Kathrin Fischer. The desperate Fischer himself quickly becomes the focus of the investigation: the traces in the house were manipulated, the break-in was apparently faked - forensics finds older traces of blood... Neighbors and colleagues give different accounts, but there are indications that Fischer beat and terrorized his wife. Did he want to prevent her from leaving him, did he kill her and fake a kidnapping? Or did Kathrin Fischer secretly prepare the escape and stage the bloody act to incriminate her husband, because she can only be safe from him if he is in prison?"
PULSE,53,21,en-US,"When Julia Grosz's friend Ela, who infiltrated Hamburg's left-wing autonomous scene as an undercover investigator for the LKA, disappears without a trace, Grosz sets out to look for her. Under a false identity, she goes into the hedonistic, liberal milieu in which her friend seemed to have lost herself."
PULSE,53,22,en-US,
PULSE,53,23,en-US,
PULSE,53,24,en-US,
PULSE,53,25,en-US,
PULSE,53,26,en-US,
PULSE,53,27,en-US,
PULSE,53,28,en-US,
PULSE,53,29,en-US,
PULSE,53,30,en-US,
PULSE,53,31,en-US,"The chief inspectors Max Ballauf and Freddy Schenk are called to a canal on the outskirts of the city. A 19-year-old drug addict has been murdered. It quickly turns out that the victim, Lara Krohn, became a street prostitute because of her addiction. Her best friend, Kim, who is the same age, suspects that Lara was killed by a customer."
PULSE,53,32,en-US,
PULSE,53,33,en-US,
PULSE,53,34,en-US,
PULSE,53,35,en-US,
PULSE,53,36,en-US,
PULSE,54,1,en-US,"Freddy Schenk is alarmed because an arson attack has been carried out on his daughter Sonja's restaurant. In the burned-out ""magic lamp"" the police find a body that has been charred beyond recognition. Freddy Schenk begins the investigation together with Max Ballauf. But first he wants to ensure that Sonja, his granddaughter Frida and Sonja's partner Karim find shelter in a police shelter. After the fire it is impossible for them to stay at home, directly above the restaurant. The KTU has not yet found any evidence at the crime scene that would indicate why the fire was started. What is clear is that the dead man appears to be the arsonist himself. However, he did not die in the fire, according to forensic pathologist Dr. Roth states..."
PULSE,54,2,en-US,
PULSE,54,3,en-US,"In Dortmund's Westpark, Jan Pawlak and Rosa Herzog stand in front of a large pool of blood, but there is no body. However, Andreas Richter, the head of a Dortmund real estate company, is missing. His business model has made him a number of opponents in Dortmund in recent years: he buys up properties in the Kreuzviertel and transforms shared apartments into sought-after luxury properties. In his personal life, he is currently divorcing his wife Natalia. She doesn't leave her husband in good stead either.

While Inspector Peter Faber has not yet come to terms with the death of his colleague Martina Bönisch, is on sick leave and is more or less living in his old Manta, Jan and Rosa come across Faber's father Josef. He and Faber apparently haven't had any contact for decades. What happened between father and son and what does Josef Faber have to do with the case?"
PULSE,54,4,en-US,
PULSE,54,5,en-US,"Saturday. Gameday. A Saar-Palatinate football derby keeps all the emergency services in Saarbrücken on tenterhooks, including the chief commissioners Leo Hölzer, Adam Schürk, Esther Baumann and Pia Heinrich. After the game, a death was reported in the emergency room. Andreas Schneider collapsed in the emergency room with skull fractures and a stab wound and could not be saved.

It quickly turns out that he spent the “third half” at a field match. But whether he also suffered the fatal injuries there remains unclear for the time being. Because as much as the hooligan groups are enemies, they also agree that the biggest and common enemy is the police. Therefore, they confront the Saarbrücken team with silence and clarify their struggles among themselves. Adam Schürk also hides certain truths. However, when he is attacked at his home because someone is looking for the millions from his father's bank robbery, he has to let Leo Hölzer know."
PULSE,54,6,en-US,"The Winterfeld family experienced a tragedy years ago when their daughter Rosa, still a teenager but already the mother of a daughter, disappeared without a trace. Now Rosa's body is found near the Black Forest village. Just like back then, Franziska Tobler and Friedemann Berg are investigating. Just like back then, Meike Winterfeld blames Werner Tröndle, who has several previous convictions. He served time in prison for other crimes and now lives in the village again, even though most people don't want anything to do with him. Franziska Tobler and Friedemann Berg reconstruct Rosa's last evening again, not only with the family, but also with Rosa's boyfriend Axel and her best friend Elif. Now adults, the two of them are critical of this reconstruction. Franziska Tobler and Friedemann Berg still hope for new insights. And actually – with the way adults now look at things, the perception of events is shifting."
PULSE,54,7,en-US,"Young, popular and extremely successful: Marlon Unger is the hotshot of an IT company. One evening he is attacked and stabbed in front of his apartment. As Moritz Eisner, Bibi Fellner and Meret Scham begin to investigate the case, the image they gain of the victim changes several times. Was he popular now? Or not? An unscrupulous guy or someone with a conscience? Someone whose hearts fell to them, or someone who didn't really care if he made enemies? In any case, the case is becoming increasingly opaque and depressing. Because when the circle of suspects finally narrows, another crime occurs that puts the investigators under pressure and forces them to make dramatic decisions..."
PULSE,54,8,en-US,"The recently deceased Evita Vogt has a huge fan base with her self-deprecating videos. As ""MagicMom"" she is one of the most successful so-called momfluencers: a likeable young mother who owns up to her supposed mistakes and has tips and tricks for other mothers. But now she is found hanging in her luxurious home. Everything points to this - but did Evita Vogt really take her own life? A real challenge for Professor Boerne and his assistant Silke Haller; Prof. Boerne cannot initially unequivocally rule out external influences. Evita's husband Moritz is shocked and doesn't believe all of this: neither suicide nor murder makes sense to him. Commissioner Thiel's investigations quickly show that ""MagicMom"" also had numerous so-called haters among those who followed her online. There were also hate and hurtful comments from other influencers like Sabine Hertweck aka “BusyBine”. And it's no secret that Evita Vogt and her neighbor Thekla Cooper didn't have a good relationship..."
PULSE,54,9,en-US,"Young Adam Moser has a fatal accident on his motorcycle at night. But the death raises questions and ultimately leads inspectors Ivo Batic and Franz Leitmayr to Munich's Hasenbergl. Here the dead man lived with his girlfriend in a small bungalow in the middle of the anonymous high-rise buildings in the district. Old Hackl lives in the house next door, a well-known troublemaker whose anger potential is notorious not only among the Munich police: Did he also have something against Adam? Enough that he had to die? As always, the old Grantler makes things difficult for the authorities and violently evades enforcement. The mood between Franz and Ivo is at its lowest point while a large-scale search for Hackl begins. There seems to be more hidden behind the cold, high facades: a world full of frustration, narrowness and envy."
PULSE,54,10,en-US,"Almost all of Alt-Bützenich is deserted and boarded up. At night a security service checks on everything. It was decided that the houses and the church would have to give way to open-cast mining. Then the climate change brings new hope: the old village can stay.

But the once close-knit village community has long since disappeared with the move to Neu-Bützenich. As Dr. When Christian Franzen, the local doctor, is informed that his empty house has been broken into, he immediately sets off - but never returns home. His wife Betje turns to the police, who find her husband - shot dead in the old village. Even though everyone here was a patient of the doctor, he was still not particularly popular. During their investigation, detectives Max Ballauf and Freddy Schenk uncover a torn community. Time cannot simply be turned back here in the lignite mining area."
PULSE,54,11,en-US,"In Bremerhaven, one of the largest automobile transshipment ports in Europe, a body is found at one of the car terminals - the driver area manager is lying dead in the trunk of a car.

The Bremen investigative team with Liv Moormann and Linda Selb begins the investigation and is supported by their Bremerhaven colleague Robert Petersen.

They come across Marie, Gheorghe Rusu and Oleg Rusu. The three car tuners secretly send cars along for night races and compete in spinning ""doughnuts"" when the car slides in circles with smoking tires. One of the vehicles turns out to be particularly explosive.

Liv Moormann quickly finds herself in the middle of the car tuning scene - and as a native of Bremerhaven, she not only meets forgotten friends, but is also confronted with her own family."
PULSE,54,12,en-US,"Everything indicates that the young police officer Rebecca Kästner committed suicide in her apartment the evening before: drugs, custody dispute, excessive demands. But when Karow finds her four-year-old son Matti frightened in the garden, he begins to have doubts about the suicide. What mother does that in front of her child? Then the last call from the dead person was to an unusual number: Susanne Bonard, a former LKA figure who now teaches at the police academy. She is a luminary whose standard work everyone knows. Before Karow knows it, she is at his side to investigate this case. Back on the road at 62?

During the investigation into Rebecca's death, the detectives also come across connections to the right-wing scene, which Bonard quickly suspects is a large right-wing network. Karow thinks that's paranoid. Until he discovers with her that they are actually faced with larger connections than initially thought..."
PULSE,54,13,en-US,"Everything indicates that the young police officer Rebecca Kästner committed suicide in her apartment the evening before: drugs, custody dispute, excessive demands. But when Karow finds her four-year-old son Matti frightened in the garden, he begins to have doubts about the suicide. What mother does that in front of her child? Then the last call from the dead person was to an unusual number: Susanne Bonard, a former LKA figure who now teaches at the police academy. She is a luminary whose standard work everyone knows. Before Karow knows it, she is at his side to investigate this case. Back on the road at 62?

During the investigation into Rebecca's death, the detectives also come across connections to the right-wing scene, which Bonard quickly suspects is a large right-wing network. Karow thinks that's paranoid. Until he discovers with her that they are actually faced with larger connections than initially thought..."
PULSE,54,14,en-US,"When his 17-year-old son Noah disappears, Jon Makoni turns to the police in desperation, even though it could be dangerous for him and his wife Hope to be targeted by the authorities: even though the Makonis have been living and working in Hanover for years , they have no papers and are therefore effectively non-existent. The investigators Falke and Grosz initially search for a smuggling network in Hanover. An unknown body is found in a truck.

In the hope that the investigators will help him find his son, Jon offers himself as a witness. In order to clarify the identity of the dead man and save the missing Noah from a similar fate, Falke and Grosz penetrate deep into Hanover's shadow economy."
PULSE,54,15,en-US,"When Peter Faber joins Jan Pawlak and Rosa Herzog early in the morning, the forensics team has almost finished their work. Tram driver Hamza Arkadas was stabbed during his night shift. There are no witnesses, but the images from the surveillance camera show how Arkadas was first provoked and then attacked by a young passenger. The perpetrator showed his face offensively into the camera before fleeing, but the recordings are of little help at first. He doesn't seem to be known to the police, and public prosecutor Matuschek doesn't want to go public with the pictures yet.

Rosa Herzog, who took over as acting head of the homicide squad in Faber's absence, gets support from police officer Beate Gräske. She is a “super recognizer” with the special ability to recognize faces – much better than her colleagues and the technology can do. With the help of surveillance cameras, she tracks down the perpetrator..."
PULSE,54,16,en-US,"After a charity event in a posh hotel on Lake Zurich, the evening's host is found murdered in his suite. Just a few days later, a top entrepreneur was found dead, tied to his rowing boat at the bottom of Lake Zurich. Both bodies have special features that point to a crime by Ndragetha and that put the Zurich police on high alert.

When Dominic Mercier, one of the organizers of the charity event, receives a threatening letter, the investigation turns into a race against time. When Isabel Grandjean examines the financial transactions with a mafia expert, she discovers a money laundering network that shows clear connections between the charity funds and the mafia.

Meanwhile, Tessa Ott is following a different lead. This leads via a boxing club to an orphanage, whose director is also murdered a short time later. Here, too, there are special traces on the corpse, which Tessa now knows how to interpret. Tessa is increasingly convinced that personal motives underlie the murders."
PULSE,54,17,en-US,"A passerby is pushed in front of a moving truck at the Kiel Fjord: an outbreak of violence from nowhere. Commissioner Borowski is listening to a nearby vocational school. A little later, the main commissioner lands in the intensive care unit with a serious head injury. Mila Sahin is of the greatest concern. Why wasn't she with him when her colleague needed her? She suspects a connection between the senseless act and the attack on Borowski. And then there are these strange calls that reach the main commissioner on the bedside: a girl named Finja claims to have been kidnapped by his sister Celina. Celina Lübbert is one of the girls Borowski interrogated at the vocational school."
PULSE,54,18,en-US,"Miriam Schenk and Paul Wolf and their almost grown children Zoé and Benno were a well-functioning patchwork family for years. The fact that there are cracks only becomes apparent when Benno's best friend Christopher is killed and the detectives Franziska Tobler and Friedemann Berg also investigate the Schenk-Wolf family's environment. Chris, they find out, was involved in the Freiburg drug scene and it seems obvious that his death had something to do with that. What did his close friend Benno know about it? After all, the two of them wanted to raise money for a trip around the world. And Zoé was also out and about with the two of them more than her parents ever noticed. Miriam and Paul's trust in their children and in each other is crumbling, while Tobler and Berg gather more and more evidence that their step-siblings are involved in dubious and increasingly dangerous financial transactions."
PULSE,54,19,en-US,"Leitmayr and Batic are shocked by a cold-blooded murder: unknown people shoot a young policewoman during a traffic stop. The cruel act is not the only shock. The inspectors find out that the murderers may come from their own ranks. Their investigation then focuses on the lobby of an online tactical shooter game, where police officers meet to play. In order to get the names of the anonymous players, they infiltrate a young e-athlete into the group. Oskar is a shooting star in the scene. But he and his father have their own interests: They want to win an important tournament that is taking place in Munich at the same time at all costs. Even at the expense of Leitmayr and Batic's investigation..."
PULSE,54,20,en-US,
PULSE,54,21,en-US,"The ninth crime scene from Franconia, ""High Mass for Toni,"" takes Chief Inspector Felix Voss (Fabian Hinrichs) into his private past. The press release describes that after years of no contact, he receives a surprise call from his old friend Marcus Borchert (Pirmin Sedlmeir), who is now a pastor. Marcus invites Felix to the Sunday sermon to reveal something about Antonia Hentschel, nicknamed Toni. Toni was Felix's great love during his student days in Berlin. But shortly before the service, Marcus is found murdered. Felix learns at the crime scene that Toni committed suicide two years ago."
PULSE,54,22,en-US,
PULSE,54,23,en-US,
PULSE,54,24,en-US,
PULSE,54,25,en-US,
PULSE,54,26,en-US,
PULSE,54,27,en-US,
PULSE,54,28,en-US,
PULSE,54,29,en-US,
PULSE,54,30,en-US,
PULSE,54,31,en-US,
PULSE,54,32,en-US,"A killed infant is found in a parking lot near Kiels. Where's the mother? Did she kill her child? A found entrance volume leads Klaus Borowski and Mila Sahin to the sleepy town of Wacken in Schleswig-Holstein, which wakes up once a year when the world's largest heavy metal festival attracts 80,000 fans. The first trace leads the commissioners to Caterer Michi, who apparently took the young mother with him."
PULSE,54,33,en-US,
PULSE,54,34,en-US,
PULSE,54,35,en-US,
PULSE,55,1,en-US,"A stranger asks Thorsten Falke to meet him. He hopes, he says, that the commissioner will keep a promise that is more than 20 years old and help him out of an emergency. Since the stranger demands a commitment without revealing the further circumstances, Falke refuses. Shortly afterwards the man is pulled dead from the Elbe. It turns out he had been living under a false identity. In order to find out who the man really was, Falke and his colleague Julia Grosz have to delve deep into their own past. And with the man the two ultimately suspect, nothing seems to be as initially assumed."
PULSE,55,2,en-US,"An unknown man is found dead on the banks of the Rhine. He suffered a heart attack. However, he was not alone at the time of his death; someone previously sprayed pepper spray into his face. The investigators Odenthal and Stern notice a mysterious witness: Julia, in her mid-40s. Everything indicates that she saw the man or even specifically met him."
PULSE,55,3,en-US,"The opportunity of a lifetime comes to André Stamm out of nowhere. A comrade from his army days offers him a promising job at the investment company “Concreta”. Rocko Andersen made a lot of money from the company. A fancy car and an apartment above the rooftops of the city: André will soon be able to afford all of this. All he has to do is do what company founder Christopher Komann demands of his team: sell, sell, sell!

Andre is ready for this. His wife Anja is currently expecting their first child. He wants to offer his family a prosperous life. And in fact: he wins new customers straight away on the job and earns big commissions. But a short time later, things at “Concreta” get completely out of control..."
PULSE,55,4,en-US,"Shortly before closing time, a jeweler in Stuttgart is robbed. He himself is injured and his customer dies while trying to escape. The robbers' actions are similar to an attack from the previous year and so the Maslov and Ellinger families, who are related by marriage, become the focus of Thorsten Lannert and Sebastian Bootz's investigation. The adult members of the family have a lot of experience in deflecting police inquiries and providing alibis. That leaves 13-year-old David, who is housed in a youth home. The detectives suspect that the teenager, who is underage, was employed as a guard during the attack. The social worker Annarosa, who looks after him, defends the boy with complete conviction and in principle doesn't make any effort to support the police; she doesn't think much of state rules."
PULSE,55,5,en-US,"“The Curse of Money” begins where “The Cold of the Earth” ended. The chief inspectors argue because Leo Hölzer had to discover that his partner Adam Schürk was in possession of the loot from his late father's bank robbery. But there is no time to resolve the conflict, because shortly afterwards Leo, all alone on the country road, is almost run over by a car in which two women and two men, completely overconfident, are apparently playing a dangerous game in which they take turns covering the driver's eyes .

A short time later, a woman dies on the same street, and Leo suspects there is a connection. But because there is a lack of evidence, there are no official investigations. So Leo investigates on his own. The first clue leads him to the casino..."
PULSE,55,6,en-US,"After the murder of an inmate in the prison, Inspectors Leitmayr and Batic have to move their office to the prison with the help of Kalli Hammermann, who was recently promoted to senior inspector, in order to investigate between the fronts of two rival prison groups with the support of correctional officer Claussen. Their leaders are driven by power games, vigilantism and corrupt dealings, making it extremely difficult for the police to solve the murder. When the model prisoner Scholz, who was released at the same time and who finally wants to live with his musically gifted son Ferdinand again, comes into the sights of the investigators, events come to a head for Leitmayr and Batic. Is the boy in danger?"
PULSE,55,7,en-US,"Detective Director Liebig was celebrating his 60th birthday at Göttingen police headquarters when the party was suddenly disrupted: there was a serious accident in the neighboring old town. A van crashed into a crowd. Charlotte Lindholm and Liebig's wife Tereza, a doctor at the local hospital, are the first to arrive at the scene of the accident. Ilie, the driver of the car, is taken to the hospital's intensive care unit.

The investigation begins at the same time: What if it was a shooting spree? But what was Ilie's motive for committing this terrible act? To clarify this, Charlotte Lindholm and Anaïs Schmitz delve into the world of low-wage workers. When Charlotte Lindholm doesn't feel sufficiently supported by the Liebig Criminal Directorate in her investigation, she asks her colleague's husband, forensic pathologist Nick Schmitz, for help."
PULSE,55,8,en-US,"Chief Inspector Faber is back on duty, but his job as head of the homicide squad is gone for now. And prosecutor Matuschek wouldn't mind if nothing changed. Faber's colleague Rosa Herzog is now taking over the management on an acting basis. Chief Inspector Jan Pawlak, on the other hand, apparently has little interest in his job. Instead, he prefers to have fun in Alkim Celik's betting shop ""Mutluluk"" (Turkish for ""luck"").

When Celik's brother-in-law Lukas Becker is found dead, the ""Mutluluk"" suddenly becomes the focus of the investigation. An old acquaintance of Faber's is now back on the scene: Tarim Abakay . This time Faber doesn't want to let him get away with it. But his sleuthing doesn't remain without consequences for long: Faber is intercepted by Ira Klasnic and her two armed companions in the parking lot in front of his father's nursing home. Did Abakay send them?"
PULSE,55,9,en-US,"The notoriously unfaithful Tobias Exner has been cheating on his wife Greta, from whose money he lives, for a long time. With his anonymous acquaintance “Kitty13”, whom he met on a dating portal, Tobias plans to murder his wife in order to be rich and free. He already has a plan to make her disappear. But before Tobias Exner can implement his plan, he himself disappears without a trace. All lines of investigation lead Klaus Borowski and Mila Sahin to the mysterious dating contact..."
PULSE,55,10,en-US,"When the club owner Otto Hübner is found shot, Inspector Bibi Fellner has to drive to the crime scene without her partner. Moritz Eisner, who celebrated his 60th birthday the evening before, is sleeping off his intoxication. As soon as he gets back to work, Hübner's business partner shoots the inspector. The bullet only grazes Eisner, but he soon faces serious problems. Traces of the crime scene and other evidence make him a suspect!

Although Eisner remembers little after his film tear, Bibi believes his protestations of innocence. At a manufacturer of lifelike 3D masks, the two come across social media photos of Eisner that Claudia's new friend Lukas posted. Although police chief “Ernstl” Rauter believes in Eisner’s innocence, “the internal affairs department” does not hesitate to arrest his colleague. In order to find out who wants to frame the inspector for murder, Bibi not only has to find a killer, but also has to turn to previous cases."
PULSE,55,11,en-US,"Chief Inspector Thiel and Professor Boerne seem overqualified: the dead Sabine Schmidt is completely intact on the outside, she was popular with everyone, and the facility exudes a harmless cosiness. But how did the two dead squirrels come about right next to her, who apparently died at the same time?

Not only does Thiel find that strange, the other tenants of the facility also seem to be hiding something. And so, together with his assistant Mirko Schrader, he takes on, among other things, Sabine's brittle neighbor Klaus Karger, who has a very special relationship with his plot. The historian Ulrich Winer shows a noticeable interest in Thiel's investigations, while his wife Vera thinks it's all a waste of time. While the professor in forensic medicine was still puzzling over the exact cause of death, his plant-savvy assistant Silke Haller noticed another irregularity in Sabine's plot, which led the team to investigate of international significance..."
